Brand,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Mahindra,Mahindra XUV500 W8,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.65
Hyundai,Hyundai i10 Sportz,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.48
Nissan,Nissan Terrano XV,Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,6.92
Honda,Honda Brio VX,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6.46
Audi,Audi A6 2.0,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,29.5
Toyota,Toyota Innova 2.0,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,4.5
Toyota,Toyota Innova 2.5,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.75
Maruti,Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75
Tata,Tata Zest Revotron,Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.5
Honda,Honda Amaze SX,Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.82
Ford,Ford Figo ,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8
Maruti,Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.11
Honda,Honda City i,Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3.25
BMW,BMW 5 Series,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,13.9
Hyundai,Hyundai i10 Sportz,Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.25
Hyundai,Hyundai Grand i10,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75
Honda,Honda Amaze SX,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5.0
Toyota,Toyota Fortuner 4x2,Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16.5
Audi,Audi A6 2011-2015,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,39.58
Ford,Ford Ecosport 1.5,Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.5
Mahindra,Mahindra XUV500 W8,Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1
Honda,Honda Amaze SX,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5
Volkswagen,Volkswagen Polo ,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.79
Hyundai,Hyundai Verna Transform,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3.45
Maruti,Maruti Wagon R,Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,4.45
Volkswagen,Volkswagen Polo ,Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,2.65
Hyundai,Hyundai i20 1.4,Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3.8
Hyundai,Hyundai i20 Asta,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,4.65
Datsun,Datsun GO Plus,Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,3.95
Audi,Audi A4 3.0,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,9.8
Hyundai,Hyundai i20 2015-2017,Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.7
Maruti,Maruti Omni 5,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.41
Toyota,Toyota Etios Liva,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,3.9
Jaguar,Jaguar XF 3.0,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,24.0
Mahindra,Mahindra XUV500 W8,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5.75
Hyundai,Hyundai Verna 1.6,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5.25
Toyota,Toyota Innova Crysta,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.25
Maruti,Maruti Eeco 5,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,3.91
Tata,Tata Nano Twist,Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,2.15
BMW,BMW 3 Series,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20.75
Honda,Honda Civic 2006-2010,Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.35
Toyota,Toyota Innova 2.5,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.11
Volvo,Volvo V40 Cross,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,20.0
Nissan,Nissan Micra XV,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6.55
BMW,BMW 5 Series,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,7.0
Maruti,Maruti Vitara Brezza,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5
Mercedes-Benz,Mercedes-Benz B Class,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,16.75
Hyundai,Hyundai Verna CRDi,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95
Maruti,Maruti Wagon R,Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45
Tata,Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.23
Mahindra,Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,7.75
Mercedes-Benz,Mercedes-Benz New C-Class,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,9.35
Maruti,Maruti Wagon R,Pune,2013,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,3.25
Honda,Honda CR-V 2.4,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,5.25
Volkswagen,Volkswagen Vento 1.5,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.25
Maruti,Maruti Ciaz VXi,Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.47
Mahindra,Mahindra XUV500 AT,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25
Maruti,Maruti Ritz VXI,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,5.81
Maruti,Maruti Alto K10,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.6
Mercedes-Benz,Mercedes-Benz SLC 43,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,54.0
Hyundai,Hyundai Verna VTVT,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,11.5
Maruti,Maruti Alto LXi,Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.6
BMW,BMW 1 Series,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,17.22
Honda,Honda Jazz 1.2,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.0
Honda,Honda Civic 2006-2010,Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.95
Mercedes-Benz,Mercedes-Benz New C-Class,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,17.95
Honda,Honda Amaze SX,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.7
Maruti,Maruti Swift VVT,Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.43
Toyota,Toyota Fortuner 3.0,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13.49
Chevrolet,Chevrolet Beat LT,Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,2.85
Skoda,Skoda Rapid 1.5,Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,4.75
Maruti,Maruti Ciaz 1.4,Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.9
Audi,Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,37.0
BMW,BMW 3 Series,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,26.5
Audi,Audi A4 2.0,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,23.32
Maruti,Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.25
Mercedes-Benz,Mercedes-Benz S Class,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,30.0
Skoda,Skoda Rapid 1.5,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,9.86
Skoda,Skoda Superb Elegance,Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,8.5
Hyundai,Hyundai EON Magna,Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.23
Volkswagen,Volkswagen Polo ,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5
Datsun,Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,2.5
Honda,Honda Brio S,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,2.39
Mercedes-Benz,Mercedes-Benz B Class,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.25
Honda,Honda City i,Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.11
Toyota,Toyota Innova 2.5,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.9
Maruti,Maruti Swift VXI,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,6.2
Mahindra,Mahindra XUV500 W8,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.9
Ford,Ford Ecosport 1.5,Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,4.42
Toyota,Toyota Fortuner 4x2,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.5
Volkswagen,Volkswagen Vento 1.5,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,6.25
Ford,Ford Figo ,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2.1
BMW,BMW X5 xDrive,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,45.0
Mercedes-Benz,Mercedes-Benz New C-Class,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,33.66
Honda,Honda Brio V,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,3.65
Hyundai,Hyundai i10 Magna,Delhi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75
Mercedes-Benz,Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,42.5
Hyundai,Hyundai Grand i10,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.5
Audi,Audi A6 2011-2015,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,19.0
Volkswagen,Volkswagen Vento ,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,4.45
Mini,Mini Countryman Cooper,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,23.0
Hyundai,Hyundai i20 Asta,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8.35
Audi,Audi A6 2011-2015,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,22.95
Chevrolet,Chevrolet Beat ,Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,1.5
Skoda,Skoda Superb Elegance,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,6.89
Ford,Ford Fiesta 1.4,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,1.45
BMW,BMW 5 Series,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,33.5
Chevrolet,Chevrolet Optra Magnum,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,1.25
Volkswagen,Volkswagen Polo ,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.2
Renault,Renault Lodgy 110PS,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,6.75
Mercedes-Benz,Mercedes-Benz E-Class E250,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,32.0
Maruti,Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,7.5
Hyundai,Hyundai Verna 1.6,Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.6
Hyundai,Hyundai i10 Magna,Kochi,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4.04
Mahindra,Mahindra Scorpio 1.99,Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,10.31
Land,Land Rover Range,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,55.76
Ford,Ford Figo ,Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6
Maruti,Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,8.5
Honda,Honda Amaze S,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5
Hyundai,Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.55
Honda,Honda Amaze S,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.25
Skoda,Skoda Laura Ambiente,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,4.5
Renault,Renault Duster 85PS,Delhi,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.35
Mahindra,Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,6.5
Maruti,Maruti Vitara Brezza,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.0
Hyundai,Hyundai i20 Asta,Kochi,2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.0
Skoda,Skoda Fabia 1.4,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,2.75
Tata,Tata Indigo eCS,Pune,2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,1.5
Audi,Audi Q3 2012-2015,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,19.9
Skoda,Skoda Octavia Elegance,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,10.0
Toyota,Toyota Etios Liva,Delhi,2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,3.0
Mercedes-Benz,Mercedes-Benz B Class,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.96
Honda,Honda Amaze S,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,3.25
Hyundai,Hyundai Verna 1.6,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,4.75
Renault,Renault Duster 85PS,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5.95
Hyundai,Hyundai Creta 1.6,Delhi,2015,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,8.15
Maruti,Maruti Wagon R,Mumbai,2016,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,4.22
Mercedes-Benz,Mercedes-Benz New C-Class,Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,10.5
Audi,Audi A8 L,Delhi,2012,56000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,45.0
Hyundai,Hyundai i10 Magna,Pune,2012,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.9
Skoda,Skoda Rapid 1.6,Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,8.9
Skoda,Skoda Superb Style,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,26.0
Hyundai,Hyundai i20 Active,Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,8.22
Honda,Honda Amaze VX,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,3.5
Maruti,Maruti Wagon R,Chennai,2004,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1.25
Mahindra,Mahindra Verito 1.5,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,3.7
Mercedes-Benz,Mercedes-Benz New C-Class,Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.41
Maruti,Maruti Wagon R,Kolkata,2013,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,2.65
Nissan,Nissan Terrano XV,Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,8.92
Mini,Mini Cooper Convertible,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,35.67
Tata,Tata Indica V2,Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,0.85
Chevrolet,Chevrolet Beat LT,Kochi,2016,60813,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,3.32
Volkswagen,Volkswagen Polo ,Mumbai,2012,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.6
Maruti,Maruti Swift ZDi,Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.8
Ford,Ford Figo ,Kolkata,2012,41284,Diesel,Manual,First,20.0,1399.0,68.05,5.0,2.5
Toyota,Toyota Innova Crysta,Kochi,2019,14165,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.64
Hyundai,Hyundai Santa Fe,Mumbai,2011,67000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,7.0
