,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Company,Model
69,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,,2.8,Ford,Figo Diesel ZXI
70,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,,3.11,Maruti,Ritz VDi
71,Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,,3.25,Honda,City i VTEC E
72,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,,13.9,BMW,5 Series 2003-2012 525d
73,Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,2.25,Hyundai,i10 Sportz 1.2
74,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,,5.75,Hyundai,Grand i10 Sportz
76,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,,5.0,Honda,Amaze SX i-VTEC
77,Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,,5.5,Ford,Ecosport 1.5 DV5 MT Titanium Optional
78,Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,,8.1,Mahindra,XUV500 W8 2WD
79,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,,3.5,Honda,Amaze SX i-DTEC
80,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,2.79,Volkswagen,Polo Diesel Highline 1.2L
81,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,,3.45,Hyundai,Verna Transform SX VGT CRDi
82,Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,,4.45,Maruti,Wagon R VXI BS IV
83,Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,,2.65,Volkswagen,Polo Petrol Highline 1.6L
84,Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,,3.8,Hyundai,i20 1.4 CRDi Sportz
85,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,,4.65,Hyundai,i20 Asta 1.2
86,Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,6.45 Lakh,3.95,Datsun,GO Plus T Petrol
87,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,,9.8,Audi,A4 3.0 TDI Quattro Premium
88,Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,,2.7,Hyundai,i20 2015-2017 Asta
89,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,,2.41,Maruti,Omni 5 Str STD
90,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,6.41 Lakh,3.9,Toyota,Etios Liva 1.2 G
91,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,,5.75,Mahindra,XUV500 W8 2WD
92,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,,5.25,Hyundai,Verna 1.6 SX CRDI (O) AT
93,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,5.13 Lakh,3.91,Maruti,Eeco 5 Seater AC
94,Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,,2.15,Tata,Nano Twist XT
95,Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,,3.35,Honda,Civic 2006-2010 1.8 V MT
96,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,,11.11,Toyota,Innova 2.5 VX (Diesel) 7 Seater
97,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,9.51 Lakh,6.55,Nissan,Micra XV CVT
98,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,,7.0,BMW,5 Series 2010-2013 525i
99,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.96 Lakh,7.5,Maruti,Vitara Brezza VDi
101,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,14.44 Lakh,10.95,Hyundai,Verna CRDi 1.6 SX Option
102,Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,,2.45,Maruti,Wagon R LXI BS IV
103,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,,3.23,Tata,Nano XTA
104,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,,7.75,Mahindra,Scorpio VLX
105,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,,9.35,Mercedes-Benz,New C-Class 200 K AT
106,Pune,2013,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,,3.25,Maruti,Wagon R LXI CNG
107,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,,5.25,Honda,CR-V 2.4 MT
108,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,,7.25,Volkswagen,Vento 1.5 TDI Comfortline AT
109,Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,,7.47,Maruti,Ciaz VXi Plus
110,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,,13.25,Mahindra,XUV500 AT W10 FWD
111,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,,5.81,Maruti,Ritz VXI ABS
112,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,4.53 Lakh,2.6,Maruti,Alto K10 VXI
113,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,13.49 Lakh,11.5,Hyundai,Verna VTVT 1.6 AT SX Plus
114,Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,,1.6,Maruti,Alto LXi BSIII
115,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,,6.0,Honda,Jazz 1.2 V CVT i VTEC
116,Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,,3.95,Honda,Civic 2006-2010 1.8 V MT
117,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,,3.7,Honda,Amaze SX i-DTEC
118,Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,,5.43,Maruti,Swift VVT VXI
120,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,,13.49,Toyota,Fortuner 3.0 Diesel
121,Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,,2.85,Chevrolet,Beat LT Option
122,Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,,4.75,Skoda,Rapid 1.5 TDI Elegance
123,Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,,9.9,Maruti,Ciaz 1.4 Alpha
124,Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,6.25,Maruti,Swift VDI
125,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,,9.86,Skoda,Rapid 1.5 TDI AT Elegance Plus Black Package
126,Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,,8.5,Skoda,Superb Elegance 2.0 TDI CR AT
127,Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,,4.23,Hyundai,EON Magna Plus
128,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,3.5,Volkswagen,Polo Diesel Trendline 1.2L
129,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,,2.5,Datsun,GO NXT
130,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,,2.39,Honda,Brio S MT
131,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,,11.25,Mercedes-Benz,B Class B180
132,Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,,7.11,Honda,City i DTEC V
133,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,,10.9,Toyota,Innova 2.5 G (Diesel) 7 Seater
134,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,,6.2,Maruti,Swift VXI Optional
135,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,,7.9,Mahindra,XUV500 W8 2WD
136,Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,,4.42,Ford,Ecosport 1.5 DV5 MT Ambiente
137,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,,13.5,Toyota,Fortuner 4x2 Manual
138,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,,6.25,Volkswagen,Vento 1.5 Highline Plus AT 16 Alloy
139,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,,2.1,Ford,Figo Diesel Titanium
140,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,,3.65,Honda,Brio V MT
141,Delhi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,2.75,Hyundai,i10 Magna 1.2
142,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,7.39 Lakh,6.5,Hyundai,Grand i10 1.2 Kappa Asta
143,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,,4.45,Volkswagen,Vento Petrol Highline AT
144,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,,8.35,Hyundai,i20 Asta 1.4 CRDi
145,Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,,1.5,Chevrolet,Beat Diesel LT
146,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,,6.89,Skoda,Superb Elegance 1.8 TSI AT
147,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,,1.45,Ford,Fiesta 1.4 TDCi EXI Limited Edition
148,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,,1.25,Chevrolet,Optra Magnum 1.6 LS BS3
149,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,4.2,Volkswagen,Polo Diesel Highline 1.2L
150,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,,6.75,Renault,Lodgy 110PS RxZ 8 Seater
151,Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,8.78 Lakh,7.5,Maruti,Baleno Alpha
152,Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,,4.6,Hyundai,Verna 1.6 SX
153,Kochi,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,,4.04,Hyundai,i10 Magna 1.1
154,Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,,10.31,Mahindra,Scorpio 1.99 S10 4WD
155,Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,,2.6,Ford,Figo Diesel ZXI
156,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,12.74 Lakh,8.5,Maruti,Ertiga ZDI
157,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,,3.5,Honda,Amaze S i-Dtech
158,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,3.55,Hyundai,i10 Magna
159,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,,3.25,Honda,Amaze S i-Dtech
160,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,,4.5,Skoda,Laura Ambiente
161,Delhi,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,,5.35,Renault,Duster 85PS Diesel RxL
162,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,10.52 Lakh,6.5,Mahindra,NuvoSport N6
163,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.98 Lakh,9.0,Maruti,Vitara Brezza ZDi Plus Dual Tone
164,Kochi,2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,,6.0,Hyundai,i20 Asta Option 1.2
165,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,,2.75,Skoda,Fabia 1.4 MPI Ambiente
166,Pune,2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,,1.5,Tata,Indigo eCS GLX
167,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,,10.0,Skoda,Octavia Elegance 1.8 TSI AT
168,Delhi,2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,,3.0,Toyota,Etios Liva GD SP
169,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,,11.96,Mercedes-Benz,B Class B180
170,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,8.54 Lakh,3.25,Honda,Amaze S Diesel
171,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,,4.75,Hyundai,Verna 1.6 SX
172,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,,5.95,Renault,Duster 85PS Diesel RxL Optional
173,Delhi,2015,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,,8.15,Hyundai,Creta 1.6 VTVT S
174,Mumbai,2016,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,,4.22,Maruti,Wagon R AMT VXI
175,Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,,10.5,Mercedes-Benz,New C-Class C250 Avantgarde
176,Pune,2012,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,,2.9,Hyundai,i10 Magna 1.1
177,Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,,8.9,Skoda,Rapid 1.6 MPI AT Style Black Package
178,Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,,8.22,Hyundai,i20 Active 1.2 SX
179,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,,3.5,Honda,Amaze VX i-DTEC
180,Chennai,2004,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,,1.25,Maruti,Wagon R LXI
181,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,9.12 Lakh,3.7,Mahindra,Verito 1.5 D4 BSIV
182,Kolkata,2013,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,5.29 Lakh,2.65,Maruti,Wagon R VXI
183,Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,,8.92,Nissan,Terrano XV Premium 110 PS Anniversary Edition
185,Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,,0.85,Tata,Indica V2 DLS BSII
186,Kochi,2016,60813,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,,3.32,Chevrolet,Beat LT
187,Mumbai,2012,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,3.6,Volkswagen,Polo Diesel Comfortline 1.2L
188,Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,6.8,Maruti,Swift ZDi
189,Kolkata,2012,41284,Diesel,Manual,First,20.0,1399.0,68.05,5.0,,2.5,Ford,Figo Diesel EXI
190,Mumbai,2011,67000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,,7.0,Hyundai,Santa Fe 4x4 AT
191,Kolkata,2011,32572,Petrol,Manual,First,17.4,1497.0,117.3,5.0,11.74 Lakh,3.87,Honda,City i-VTEC V
192,Kochi,2018,14960,Petrol,Manual,First,18.6,1197.0,81.83,5.0,,6.27,Hyundai,i20 1.2 Magna Executive
193,Mumbai,2013,74000,Diesel,Manual,First,25.44,936.0,57.6,5.0,,2.65,Chevrolet,Beat Diesel LT
194,Kochi,2015,56847,Diesel,Manual,First,22.54,1396.0,88.73,5.0,,7.2,Hyundai,i20 Sportz 1.4 CRDi
195,Coimbatore,2015,121374,Diesel,Manual,First,12.99,2494.0,100.6,7.0,,14.3,Toyota,Innova 2.5 Z Diesel 7 Seater
196,Chennai,2013,52000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,,6.9,Maruti,Ertiga VDI
197,Mumbai,2014,118000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,,10.75,Toyota,Innova 2.5 V Diesel 7-seater
199,Kochi,2016,33915,Petrol,Manual,First,17.8,1497.0,117.3,5.0,,8.09,Honda,City i VTEC V
200,Mumbai,2017,33000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,,4.75,Hyundai,Grand i10 CRDi Era
201,Chennai,2016,34000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,,8.45,Maruti,Ciaz 1.3 Alpha
202,Kolkata,2012,55000,Diesel,Manual,First,20.5,1598.0,103.6,5.0,,3.5,Skoda,Rapid Leisure 1.6 TDI MT
203,Kochi,2006,160538,Diesel,Manual,First,13.1,1493.0,82.0,5.0,,1.8,Hyundai,Accent CRDi
204,Jaipur,2014,60000,Diesel,Manual,Second,19.91,1498.0,103.6,5.0,,3.7,Volkswagen,Polo GT 1.5 TDI
205,Coimbatore,2017,49575,Petrol,Manual,First,18.7,1199.0,88.7,5.0,,7.17,Honda,Jazz 1.2 VX i VTEC
206,Jaipur,2010,83000,Petrol,Manual,First,19.81,1086.0,68.05,5.0,,1.75,Hyundai,i10 Era
207,Jaipur,2011,35000,Petrol,Manual,Third,19.7,796.0,35.0,5.0,,1.85,Maruti,Omni MPI CARGO BSIII W/ IMMOBILISER
208,Coimbatore,2017,27872,Petrol,Manual,Second,20.4,1197.0,81.8,5.0,,5.95,Maruti,Swift VXI BSIV
209,Mumbai,2014,16514,Petrol,Manual,First,18.9,1197.0,82.0,5.0,,3.75,Hyundai,Grand i10 Magna
210,Pune,2012,120000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,3.75,Maruti,Swift VDI
211,Hyderabad,2008,143275,Diesel,Manual,First,22.0,1582.0,126.2,5.0,14.07 Lakh,2.6,Hyundai,Verna CRDi 1.6 SX
213,Mumbai,2010,52000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,,2.8,Hyundai,i20 1.2 Sportz
214,Hyderabad,2014,88500,Diesel,Manual,First,23.2,1248.0,73.94,5.0,,4.35,Maruti,Ritz ZDi
215,Bangalore,2016,28000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,,13.75,Hyundai,Creta 1.6 CRDi SX
